Ano;Código do Município;Município;"Valor adicionado bruto da Agropecuária, 
a preços correntes
(R$ 1.000)";"Produto Interno Bruto, 
a preços correntes
(R$ 1.000)";Atividade com maior valor adicionado bruto;Atividade com segundo maior valor adicionado bruto;Atividade com terceiro maior valor adicionado bruto
2017;1100015;Alta Floresta D'Oeste;169623.26;485374.33;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1100023;Ariquemes;165216.94;2287910.38;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;1100031;Cabixi;63021.99;138109.96;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1100049;Cacoal;255059.85;2082761.13;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;1100056;Cerejeiras;61939.89;439245.42;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1100064;Colorado do Oeste;78345.65;328377.18;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1100072;Corumbiara;227123.26;332803.81;Produção florestal, pesca e aquicultura;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social
2017;1100080;Costa Marques;62851.88;212878.87;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1100098;Espigão D'Oeste;124625.44;566361.29;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1100106;Guajará-Mirim;47073.51;775194.51;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1100114;Jaru;172324.51;1354732.94;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1100122;Ji-Paraná;142860.71;3062161.77;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;1100130;Machadinho D'Oeste;183427.12;587757.54;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1100148;Nova Brasilândia D'Oeste;115926.12;345424.75;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária
2017;1100155;Ouro Preto do Oeste;135777.05;762112.07;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1100189;Pimenta Bueno;107191.82;1050682.48;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1100205;Porto Velho;589994.74;16974627.25;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;1100254;Presidente Médici;103300.38;410136.03;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1100262;Rio Crespo;59951.20;105271.88;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura
2017;1100288;Rolim de Moura;105487.34;1304503.00;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação
2017;1100296;Santa Luzia D'Oeste;56677.57;153096.39;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1100304;Vilhena;162728.26;2523712.33;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1100320;São Miguel do Guaporé;223963.77;633098.87;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1100338;Nova Mamoré;183650.56;463143.78;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1100346;Alvorada D'Oeste;82744.32;252251.83;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1100379;Alto Alegre dos Parecis;174973.97;328001.36;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
2017;1100403;Alto Paraíso;87557.38;307459.00;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1100452;Buritis;189479.54;649984.96;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1100502;Novo Horizonte do Oeste;63004.29;167452.60;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1100601;Cacaulândia;74768.70;139923.91;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1100700;Campo Novo de Rondônia;124132.17;266520.11;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias extrativas
2017;1100809;Candeias do Jamari;85427.84;491349.74;Administração, defesa, educação e saúde públicas e seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços
2017;1100908;Castanheiras;75536.64;110916.46;Produção florestal, pesca e aquicultura;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social
2017;1100924;Chupinguaia;105949.71;279876.83;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
2017;1100940;Cujubim;84130.05;324734.77;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1101005;Governador Jorge Teixeira;95410.22;178524.34;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1101104;Itapuã do Oeste;40429.83;158292.64;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1101203;Ministro Andreazza;84837.06;215810.06;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária
2017;1101302;Mirante da Serra;63372.63;205082.40;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1101401;Monte Negro;88241.52;267804.39;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1101435;Nova União;55705.40;121147.07;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1101450;Parecis;46896.69;99549.44;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1101468;Pimenteiras do Oeste;61867.85;99367.08;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social
2017;1101476;Primavera de Rondônia;25151.35;62900.30;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1101484;São Felipe D'Oeste;32278.82;87273.17;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1101492;São Francisco do Guaporé;132787.26;335647.88;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1101500;Seringueiras;88836.41;232724.47;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1101559;Teixeirópolis;34815.39;83325.09;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1101609;Theobroma;89676.02;185034.27;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1101708;Urupá;72653.63;200082.39;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1101757;Vale do Anari;48686.90;143302.67;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1101807;Vale do Paraíso;69289.89;142330.30;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1200013;Acrelândia;71991.99;229643.53;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1200054;Assis Brasil;22123.79;91742.51;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1200104;Brasiléia;72910.69;388018.34;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1200138;Bujari;70747.86;158301.26;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1200179;Capixaba;70954.32;170990.13;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1200203;Cruzeiro do Sul;67009.61;1287867.31;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1200252;Epitaciolândia;45564.97;435952.45;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1200302;Feijó;67065.68;350879.78;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1200328;Jordão;11981.05;78628.09;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1200336;Mâncio Lima;39397.01;194421.09;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1200344;Manoel Urbano;21252.72;135401.47;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;Demais serviços
2017;1200351;Marechal Thaumaturgo;42074.81;195343.53;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1200385;Plácido de Castro;64311.78;241230.59;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1200393;Porto Walter;17904.65;112710.95;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1200401;Rio Branco;165637.12;8153153.07;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;1200427;Rodrigues Alves;41639.37;185008.45;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1200435;Santa Rosa do Purus;13669.29;71271.21;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1200450;Senador Guiomard;95354.36;359782.44;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1200500;Sena Madureira;109486.13;500511.85;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1200609;Tarauacá;84916.65;470854.01;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1200708;Xapuri;67178.15;231302.18;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1200807;Porto Acre;79015.25;229926.37;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1300029;Alvarães;56928.94;159082.54;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1300060;Amaturá;13060.14;80804.56;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1300086;Anamã;33517.50;108163.03;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1300102;Anori;83189.12;192983.72;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Demais serviços
2017;1300144;Apuí;55955.18;193492.49;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1300201;Atalaia do Norte;24584.73;141204.95;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1300300;Autazes;82954.86;328192.71;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1300409;Barcelos;13512.32;160671.85;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;1300508;Barreirinha;50105.92;239721.44;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1300607;Benjamin Constant;27254.35;280085.70;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1300631;Beruri;14751.89;141497.86;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;1300680;Boa Vista do Ramos;18685.49;125738.89;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;1300706;Boca do Acre;84143.45;365382.73;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1300805;Borba;45988.73;296370.60;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1300839;Caapiranga;56210.02;142345.57;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1300904;Canutama;15963.64;103082.45;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1301001;Carauari;86138.71;286003.06;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1301100;Careiro;47797.42;272854.11;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1301159;Careiro da Várzea;164719.18;313356.31;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1301209;Coari;142083.95;1322937.21;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias extrativas;Demais serviços
2017;1301308;Codajás;302524.95;464272.95;Produção florestal, pesca e aquicultura;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1301407;Eirunepé;207781.27;434005.99;Produção florestal, pesca e aquicultura;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1301506;Envira;37633.72;148765.62;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1301605;Fonte Boa;23046.28;167593.14;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;1301654;Guajará;18609.62;115994.51;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1301704;Humaitá;122535.66;556079.08;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;1301803;Ipixuna;11557.87;139915.80;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;1301852;Iranduba;176758.61;697064.39;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1301902;Itacoatiara;468832.28;1979493.39;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1301951;Itamarati;28781.40;93869.19;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1302009;Itapiranga;40929.60;107712.77;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Demais serviços
2017;1302108;Japurá;16775.96;61997.46;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;1302207;Juruá;18547.88;99877.36;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Demais serviços
2017;1302306;Jutaí;82709.19;218569.03;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1302405;Lábrea;214242.01;495747.11;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Demais serviços
2017;1302504;Manacapuru;735631.26;1526356.94;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1302553;Manaquiri;81172.54;236248.15;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Produção florestal, pesca e aquicultura
2017;1302603;Manaus;218516.51;73225448.96;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;1302702;Manicoré;146693.03;495881.47;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1302801;Maraã;40683.31;153885.07;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1302900;Maués;53141.81;459062.85;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1303007;Nhamundá;20888.58;142266.63;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1303106;Nova Olinda do Norte;29418.68;234351.28;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;1303205;Novo Airão;14716.83;131745.35;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1303304;Novo Aripuanã;46618.70;183333.83;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1303403;Parintins;270295.14;1092154.78;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1303502;Pauini;36155.92;150838.41;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1303536;Presidente Figueiredo;68532.40;445555.01;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1303569;Rio Preto da Eva;139658.85;384151.96;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1303601;Santa Isabel do Rio Negro;12304.31;122726.47;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;1303700;Santo Antônio do Içá;30261.55;172832.69;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;1303809;São Gabriel da Cachoeira;18024.88;314681.53;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1303908;São Paulo de Olivença;27052.26;235478.49;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;1303957;São Sebastião do Uatumã;23911.07;101297.22;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1304005;Silves;33549.21;96376.36;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Produção florestal, pesca e aquicultura
2017;1304062;Tabatinga;17747.53;463248.10;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1304104;Tapauá;206634.03;338883.63;Produção florestal, pesca e aquicultura;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1304203;Tefé;149899.70;746603.38;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1304237;Tonantins;12096.77;123846.89;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;1304260;Uarini;85658.81;186573.98;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1304302;Urucará;175008.33;298331.00;Produção florestal, pesca e aquicultura;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1304401;Urucurituba;20951.28;143100.96;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;1400027;Amajari;32652.56;163113.00;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1400050;Alto Alegre;71531.53;276115.18;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1400100;Boa Vista;137439.40;8947813.49;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1400159;Bonfim;97177.53;266844.21;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1400175;Cantá;26422.76;247658.41;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1400209;Caracaraí;33687.50;347759.30;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1400233;Caroebe;36952.10;162996.21;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária
2017;1400282;Iracema;20261.13;150906.05;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1400308;Mucajaí;38456.07;299920.21;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1400407;Normandia;19910.00;148455.21;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1400456;Pacaraima;7429.05;171778.36;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1400472;Rorainópolis;45506.35;530589.76;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1400506;São João da Baliza;14710.45;155127.24;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1400605;São Luiz;15868.45;119130.32;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1400704;Uiramutã;11134.33;116502.19;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1500107;Abaetetuba;168016.04;1337352.84;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1500131;Abel Figueiredo;19371.16;80633.03;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1500206;Acará;541087.59;932174.74;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1500305;Afuá;133202.54;358271.00;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Produção florestal, pesca e aquicultura
2017;1500347;Água Azul do Norte;147164.65;443365.39;Pecuária, inclusive apoio à pecuária;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social
2017;1500404;Alenquer;266752.84;609254.70;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1500503;Almeirim;71865.20;666123.18;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1500602;Altamira;245254.42;2501059.78;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;1500701;Anajás;38740.47;204750.75;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;1500800;Ananindeua;11087.80;6980442.81;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;1500859;Anapu;94524.28;351211.11;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1500909;Augusto Corrêa;76643.10;332780.34;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1500958;Aurora do Pará;95370.68;277393.89;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1501006;Aveiro;63576.11;144716.25;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1501105;Bagre;53732.06;176250.44;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1501204;Baião;110000.81;356595.28;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1501253;Bannach;47504.47;76464.94;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1501303;Barcarena;94650.43;4818669.20;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;1501402;Belém;79109.94;30244780.40;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social
2017;1501451;Belterra;44273.90;158065.26;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;1501501;Benevides;3717.47;1394023.02;Indústrias de transformação;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1501576;Bom Jesus do Tocantins;52563.40;164637.08;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1501600;Bonito;22619.56;136289.59;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Indústrias de transformação
2017;1501709;Bragança;188254.81;1116022.93;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
